lat,lang
-0.9553223,114.8977689
-0.9552583,114.8977155
-0.9552601,114.8977097
-0.9552987,114.8977448
-0.9553063,114.8976647
-0.9552747,114.8976798
-0.9553771,114.8976757
-0.9553124,114.8977751
-0.9552763,114.8976788
-0.9553224,114.8977271
-0.9552811,114.8977451
-0.9552755,114.8977033
-0.9552571,114.8977156
-0.9552896,114.8976466
-0.9553181,114.8977587
-0.9553147,114.8977362
-0.9553923,114.8977177
-0.9552931,114.8977375
-0.9552805,114.8976953
-0.9553335,114.8976749
-0.9553538,114.8977742
-0.9553922,114.8977586
-0.9552862,114.8977551
-0.9553635,114.8977301
-0.9553092,114.8977835
-0.9552536,114.8977082
-0.9553196,114.8977787
-0.9553825,114.8977763
-0.9553059,114.8977662
-0.9553312,114.8976761
-0.9553706,114.8977449
-0.9553533,114.8977087
-0.9553729,114.8977447
-0.9553492,114.8976871
-0.9553831,114.8976844
-0.9553157,114.8977171
-0.9553212,114.8977288
-0.9552868,114.8977434
-0.9553202,114.8977623
-0.9553559,114.8977242
-0.9553656,114.8976849
-0.9553801,114.8977592
-0.9553497,114.8977579
-0.9553711,114.8977091
-0.9552621,114.8976975
-0.9553165,114.8977276
-0.9552978,114.8976534
-0.9553815,114.8977613
-0.9552665,114.8977714
-0.9553773,114.8977903
-0.9553056,114.8976943
-0.9553104,114.8977178
-0.9553397,114.8977326
-0.9553859,114.8977258
-0.9553319,114.8977807
-0.9553737,114.8977781
-0.9553314,114.8977675
-0.9553325,114.8977538
-0.9553634,114.8977263
-0.9553477,114.8976749
-0.9553619,114.8977514
-0.9553006,114.8977763
-0.9553743,114.8976924
-0.9553785,114.8977474
-0.9553594,114.8977098
-0.9553223,114.8976711
-0.9553902,114.8976842
-0.9553152,114.8977712
-0.9553152,114.8976947
-0.9553701,114.8977464
-0.9553038,114.8976477
-0.9553542,114.8977634
-0.9553611,114.8977803
-0.9553873,114.8976806
-0.9552575,114.8977328
-0.9553748,114.8977638
-0.9553763,114.8977139
-0.9553871,114.8977714
-0.9553235,114.8977632
-0.9552699,114.8977302
-0.9552894,114.8977367
-0.9553896,114.8977503
-0.9553484,114.8977324
-0.9552662,114.8977206
-0.9553446,114.8977874
-0.9553112,114.8976409
-0.9553436,114.8976785
-0.9553557,114.8976601
-0.9553415,114.8977951
-0.9552887,114.8977428
-0.9553864,114.8977782
-0.9553024,114.8977563
-0.9552769,114.8977464
-0.9553558,114.8976677
-0.9552759,114.8976637
-0.9553235,114.8977259
-0.9553088,114.8977314
-0.9553635,114.8977058
-0.9553563,114.8976865
-0.9552686,114.8977249
-0.9553178,114.8977389
-0.9552595,114.8977635
-0.9553295,114.8976748
-0.9553899,114.8977307
-0.9552801,114.8977504
-0.9553604,114.8977842
-0.9552844,114.8976567
-0.9552874,114.8977603
-0.9553801,114.8977436
-0.9553657,114.8977202
-0.9552731,114.8977345
-0.9552805,114.8977814
-0.9553719,114.8977473
-0.9553386,114.8977119
-0.9553827,114.8977122
-0.9553104,114.8977271
-0.9553028,114.8976496
-0.9552642,114.8977693
-0.9552832,114.8976863
-0.9552773,114.8976646
-0.9553536,114.8977493
-0.9552864,114.8976759
-0.9553975,114.8977312
-0.9553984,114.8977258
-0.9552622,114.8977238
-0.9553844,114.8977707
-0.9553526,114.8976966
-0.9553557,114.8977521
-0.9552781,114.8976622
-0.9553389,114.8977412
-0.9552903,114.8977152
-0.9552864,114.8977249
-0.9552603,114.8977195
-0.9553098,114.8977777
-0.9553802,114.8977372
-0.9553115,114.8976851
-0.9553017,114.8977633
-0.9553225,114.8976881
-0.9553435,114.8977237
-0.9553202,114.8977568
-0.9553701,114.8977351
-0.9553722,114.8977203
-0.9552926,114.8977601
-0.9553658,114.8977125
-0.9553043,114.8976911
-0.9553358,114.8977907
-0.9553079,114.8976628
-0.9552688,114.8977279
-0.9553766,114.8976839
-0.9553464,114.8976909
-0.9552924,114.8977494
